Department,Department Name,Division,Gender,Base Salary,Grade
ABS,Alcohol Beverage Services,Burtonsville,F,78902,18
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,59660,12
ABS,Alcohol Beverage Services,Customer Service,M,64045.95,18
ABS,Alcohol Beverage Services,Poolesville,M,65464,14
ABS,Alcohol Beverage Services,Wholesale Operations,M,90848,21
ABS,Alcohol Beverage Services,Olney,M,84046.57,21
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,47688.64,10
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,13
ABS,Alcohol Beverage Services,Burtonsville,M,87219.23,21
ABS,Alcohol Beverage Services,Montrose,M,65464,14
ABS,Alcohol Beverage Services,Poolesville,M,67415.85,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,65128.71,18
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,78902,18
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,167345,M2
ABS,Alcohol Beverage Services,Retail Administration,M,103430.45,25
ABS,Alcohol Beverage Services,Montrose,M,65464,14
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,66297.8,15
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,109761,25
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,47688.64,10
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660,12
ABS,Alcohol Beverage Services,Wholesale Operations,M,90848,21
ABS,Alcohol Beverage Services,Downtown Rockville,F,70310.4,18
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,78902,18
ABS,Alcohol Beverage Services,Downtown Rockville,M,45360.97,12
ABS,Alcohol Beverage Services,Kingsview,F,64552.96,14
ABS,Alcohol Beverage Services,Burtonsville,M,38190.58,12
ABS,Alcohol Beverage Services,Muddy Branch,M,62376.07,14
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,78902,18
ABS,Alcohol Beverage Services,Customer Service,F,107918.28,25
ABS,Alcohol Beverage Services,Wholesale Operations,F,90289.92,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,59800,15
ABS,Alcohol Beverage Services,Walnut Hill,M,47728,12
ABS,Alcohol Beverage Services,Retail Administration,F,106226.71,25
ABS,Alcohol Beverage Services,Kensington,M,43825.99,12
ABS,Alcohol Beverage Services,Leisure World,F,60260.74,14
ABS,Alcohol Beverage Services,IT Administration,F,115099,26
ABS,Alcohol Beverage Services,Downtown Rockville,M,87253.3,21
ABS,Alcohol Beverage Services,Retail Administration,M,93387.52,25
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,84421.55,20
ABS,Alcohol Beverage Services,Retail Administration,F,67496.3,18
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,68575,15
ABS,Alcohol Beverage Services,Seneca Meadows,F,88820.04,21
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,90848,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,53246.64,13
ABS,Alcohol Beverage Services,Administrative Services,F,63728.58,18
ABS,Alcohol Beverage Services,Kensington,M,63411.85,18
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,75290,17
ABS,Alcohol Beverage Services,Goshen Crossing,M,65112.51,21
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,13
ABS,Alcohol Beverage Services,Darnestown,F,65632.33,18
ABS,Alcohol Beverage Services,White Oak,M,69752.84,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,78902,18
ABS,Alcohol Beverage Services,Administrative Services,M,86669,20
ABS,Alcohol Beverage Services,White Oak,M,45360.97,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,90848,21
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,68575,15
ABS,Alcohol Beverage Services,Retail Administration,F,138556.12,M3
ABS,Alcohol Beverage Services,IT Administration,M,82691,19
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,55111.29,13
ABS,Alcohol Beverage Services,Montrose,M,77956.26,18
ABS,Alcohol Beverage Services,Westwood,M,58222.83,14
ABS,Alcohol Beverage Services,Darnestown,M,39375.6,12
ABS,Alcohol Beverage Services,Clarksburg Village,M,72302.29,18
ABS,Alcohol Beverage Services,Montrose,M,72193.58,21
ABS,Alcohol Beverage Services,Silver Spring,M,78902,18
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,62488,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,64206.13,15
ABS,Alcohol Beverage Services,Cabin John,F,77956.27,18
ABS,Alcohol Beverage Services,Darnestown,M,85927.35,21
ABS,Alcohol Beverage Services,Downtown Rockville,M,65464,14
ABS,Alcohol Beverage Services,Muddy Branch,M,86691.4,21
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,90080.58,21
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,68575,15
ABS,Alcohol Beverage Services,Wheaton,M,90848,21
ABS,Alcohol Beverage Services,Darnestown,F,29830,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,53246.64,13
ABS,Alcohol Beverage Services,Flower Avenue,F,61264.59,18
ABS,Alcohol Beverage Services,Kensington,M,65464,14
ABS,Alcohol Beverage Services,Leisure World,M,79534.02,21
ABS,Alcohol Beverage Services,Fallsgrove,F,70310.56,18
ABS,Alcohol Beverage Services,Walnut Hill,F,47728,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,13
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,62488,13
ABS,Alcohol Beverage Services,Goshen Crossing,F,67929.68,18
ABS,Alcohol Beverage Services,Wholesale Operations,M,90728.22,21
ABS,Alcohol Beverage Services,King Farm,M,90848,21
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,59660,12
ABS,Alcohol Beverage Services,Kingsview,M,78902,18
ABS,Alcohol Beverage Services,Aspen Hill,F,83758.58,21
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,59660,12
ABS,Alcohol Beverage Services,Kingsview,M,90848,21
ABS,Alcohol Beverage Services,Walnut Hill,M,65464,14
ABS,Alcohol Beverage Services,Cabin John,M,64556.26,14
ABS,Alcohol Beverage Services,Clarksburg Village,M,74723.62,21
ABS,Alcohol Beverage Services,Silver Spring,M,80539.77,21
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,76742.54,20
ABS,Alcohol Beverage Services,Muddy Branch,M,60874.32,18
ABS,Alcohol Beverage Services,Beer Loading,M,51955,9
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,61892.87,15
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,59800,13
ABS,Alcohol Beverage Services,Kingsview,M,18574.4,12
ABS,Alcohol Beverage Services,Wheaton,M,78902,18
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,44166.24,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,59938.72,13
ABS,Alcohol Beverage Services,Cloverly,F,65464,14
ABS,Alcohol Beverage Services,Customer Service,F,64042.65,18
ABS,Alcohol Beverage Services,Cabin John,M,46951.18,12
ABS,Alcohol Beverage Services,Fallsgrove,F,90848,21
ABS,Alcohol Beverage Services,Hampden Lane,F,69753.01,21
ABS,Alcohol Beverage Services,Administration,M,144148.63,M3
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,62488,13
ABS,Alcohol Beverage Services,Potomac,M,65632.47,18
ABS,Alcohol Beverage Services,Flower Avenue,M,90848,21
ABS,Alcohol Beverage Services,Customer Service,M,78902,18
ABS,Alcohol Beverage Services,Muddy Branch,M,62369.7,14
ABS,Alcohol Beverage Services,Aspen Hill,M,65464,14
ABS,Alcohol Beverage Services,Downtown Rockville,M,64552.94,14
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,59800,15
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,96819.21,25
ABS,Alcohol Beverage Services,IT Administration,M,126584,28
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,61330.38,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,61892.87,15
ABS,Alcohol Beverage Services,Olney,M,76146.31,18
ABS,Alcohol Beverage Services,Cabin John,M,47728,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,109761,25
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,55154.39,12
ABS,Alcohol Beverage Services,Wheaton,M,47728,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52644.58,10
ABS,Alcohol Beverage Services,Cabin John,M,47728,12
ABS,Alcohol Beverage Services,Beer Loading,M,72208.8,18
ABS,Alcohol Beverage Services,Potomac,F,47728,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,49957.19,13
ABS,Alcohol Beverage Services,Kensington,M,36899.78,12
ABS,Alcohol Beverage Services,Customer Service,F,61860.41,18
ABS,Alcohol Beverage Services,Hampden Lane,F,36534.43,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,51638.54,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,50681.2,13
ABS,Alcohol Beverage Services,Hampden Lane,M,50737.17,14
ABS,Alcohol Beverage Services,Darnestown,M,54350.13,14
ABS,Alcohol Beverage Services,Silver Spring,F,36534.43,12
ABS,Alcohol Beverage Services,Clarksburg Village,M,51992.29,14
ABS,Alcohol Beverage Services,Silver Spring,M,50234.82,14
ABS,Alcohol Beverage Services,Seneca Meadows,M,38190.68,12
ABS,Alcohol Beverage Services,Kensington,F,36899.78,12
ABS,Alcohol Beverage Services,White Oak,M,55258.33,18
ABS,Alcohol Beverage Services,Potomac,F,36899.78,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45484.36,12
ABS,Alcohol Beverage Services,Fallsgrove,M,54375.73,14
ABS,Alcohol Beverage Services,Westwood,M,59193.52,18
ABS,Alcohol Beverage Services,Fallsgrove,M,51993.02,14
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,43511.11,12
ABS,Alcohol Beverage Services,Customer Service,F,72822.81,18
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,50680.97,15
ABS,Alcohol Beverage Services,Aspen Hill,M,57205.84,18
ABS,Alcohol Beverage Services,Muddy Branch,M,22068.44,12
ABS,Alcohol Beverage Services,White Oak,M,40911.96,12
ABS,Alcohol Beverage Services,Potomac,M,50737.18,14
ABS,Alcohol Beverage Services,Burtonsville,F,39527.56,12
ABS,Alcohol Beverage Services,Wheaton,M,45360,12
ABS,Alcohol Beverage Services,Wheaton,M,23062.36,12
ABS,Alcohol Beverage Services,Hampden Lane,M,36899.78,12
ABS,Alcohol Beverage Services,Seneca Meadows,M,65464,14
ABS,Alcohol Beverage Services,Burtonsville,M,19903.07,12
ABS,Alcohol Beverage Services,White Oak,M,36899.78,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49356.65,10
ABS,Alcohol Beverage Services,Silver Spring,M,22059.71,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,F,39379.4,10
ABS,Alcohol Beverage Services,Seneca Meadows,F,44916.63,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52455.06,15
ABS,Alcohol Beverage Services,Leisure World,F,36899.78,12
ABS,Alcohol Beverage Services,White Oak,M,36742.87,12
ABS,Alcohol Beverage Services,King Farm,M,52522.24,14
ABS,Alcohol Beverage Services,Wholesale Operations,M,73435.07,21
ABS,Alcohol Beverage Services,Olney,F,47162.2,12
ABS,Alcohol Beverage Services,Olney,M,38190.58,12
ABS,Alcohol Beverage Services,Westwood,M,58222.95,14
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,54291.41,15
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,46069,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53932.73,15
ABS,Alcohol Beverage Services,Seneca Meadows,M,37845.21,12
ABS,Alcohol Beverage Services,Darnestown,M,36534.43,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,89188.69,21
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,40940,9
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,47285.7,15
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,53620.29,17
ABS,Alcohol Beverage Services,Burtonsville,M,36534.43,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45034.02,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,43439.99,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,47285.72,13
ABS,Alcohol Beverage Services,Aspen Hill,M,18574.4,12
ABS,Alcohol Beverage Services,Muddy Branch,M,36534.43,12
ABS,Alcohol Beverage Services,Walnut Hill,M,36534.43,12
ABS,Alcohol Beverage Services,Cloverly,M,36534.43,12
ABS,Alcohol Beverage Services,Muddy Branch,M,36534.43,12
ABS,Alcohol Beverage Services,Burtonsville,F,50234.82,14
ABS,Alcohol Beverage Services,Westwood,M,36534.43,12
ABS,Alcohol Beverage Services,Walnut Hill,F,50234.82,14
ABS,Alcohol Beverage Services,Montrose,M,36534.43,12
ABS,Alcohol Beverage Services,Aspen Hill,M,48536.08,14
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,34316,10
ABS,Alcohol Beverage Services,Cloverly,M,64697.35,18
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,52499.37,17
ABS,Alcohol Beverage Services,Goshen Crossing,F,36534.43,12
ABS,Alcohol Beverage Services,Fallsgrove,M,35298.98,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,38451.2,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,48026,13
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,42584.5,10
ABS,Alcohol Beverage Services,Kingsview,F,36534.42,12
ABS,Alcohol Beverage Services,Seneca Meadows,M,55258.29,18
ABS,Alcohol Beverage Services,Fallsgrove,F,36534.42,12
ABS,Alcohol Beverage Services,Walnut Hill,F,36534.42,12
ABS,Alcohol Beverage Services,Cloverly,M,50234.82,14
ABS,Alcohol Beverage Services,Westwood,M,36534.42,12
ABS,Alcohol Beverage Services,Leisure World,M,36534.42,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49848.5,15
ABS,Alcohol Beverage Services,Kensington,M,50234.82,14
ABS,Alcohol Beverage Services,Muddy Branch,M,50234.82,14
ABS,Alcohol Beverage Services,Muddy Branch,F,36534.42,12
ABS,Alcohol Beverage Services,Cabin John,F,36534.42,12
ABS,Alcohol Beverage Services,Olney,M,49249.83,14
ABS,Alcohol Beverage Services,Poolesville,M,36534.42,12
ABS,Alcohol Beverage Services,Goshen Crossing,F,35298.98,12
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,46842.96,13
ABS,Alcohol Beverage Services,Kingsview,F,36534.42,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43103.68,10
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,46402.53,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53399.48,15
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,43103.7,13
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,43728.95,13
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,44612.32,12
ABS,Alcohol Beverage Services,Darnestown,M,35298.99,12
ABS,Alcohol Beverage Services,Wheaton,F,34105.27,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,44612.32,12
ABS,Alcohol Beverage Services,King Farm,F,36534.42,12
ABS,Alcohol Beverage Services,Clarksburg Village,M,36534.42,12
ABS,Alcohol Beverage Services,Muddy Branch,M,36534.42,12
ABS,Alcohol Beverage Services,Flower Avenue,M,50234.83,14
ABS,Alcohol Beverage Services,Kingsview,F,50234.83,14
ABS,Alcohol Beverage Services,Administrative Services,F,109761,25
ABS,Alcohol Beverage Services,Beer Loading,M,38451.2,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,52746.52,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,42584.49,10
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45258.88,13
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,51593.7,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,36760.35,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,49848.99,15
ABS,Alcohol Beverage Services,Flower Avenue,M,35298.99,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,45258.87,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43511.13,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,43103.68,13
ABS,Alcohol Beverage Services,Purchasing,M,100636.07,25
ABS,Alcohol Beverage Services,Silver Spring,F,35298.99,12
ABS,Alcohol Beverage Services,King Farm,F,53389.71,18
ABS,Alcohol Beverage Services,Seneca Meadows,M,48536.11,14
ABS,Alcohol Beverage Services,Downtown Rockville,F,48536.11,14
ABS,Alcohol Beverage Services,Darnestown,F,35298.99,12
ABS,Alcohol Beverage Services,Silver Spring,M,48536.1,14
ABS,Alcohol Beverage Services,Westwood,M,48536.11,14
ABS,Alcohol Beverage Services,Director's Office,F,59775.11,18
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,43103.69,12
ABS,Alcohol Beverage Services,Flower Avenue,M,35298.99,12
ABS,Alcohol Beverage Services,White Oak,F,48536.11,14
ABS,Alcohol Beverage Services,Clarksburg Village,M,35298.98,12
ABS,Alcohol Beverage Services,Olney,M,32952.33,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43439.53,15
ABS,Alcohol Beverage Services,Beer Loading,M,43103.6,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,49848.5,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,41135.71,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,39752.99,10
ABS,Alcohol Beverage Services,Goshen Crossing,M,48527.12,14
ABS,Alcohol Beverage Services,Hampden Lane,M,35298.98,12
ABS,Alcohol Beverage Services,Olney,M,48536.1,14
ABS,Alcohol Beverage Services,Hampden Lane,M,53389.71,18
ABS,Alcohol Beverage Services,Aspen Hill,F,35298.98,12
ABS,Alcohol Beverage Services,Olney,F,34105.42,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,38409.26,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,48162.8,15
ABS,Alcohol Beverage Services,Wholesale Administration,M,167345,M2
ABS,Alcohol Beverage Services,Montrose,M,29721.12,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,40035.02,12
ABS,Alcohol Beverage Services,Fallsgrove,F,34105.42,12
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,41189.89,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,39753.59,10
ABS,Alcohol Beverage Services,Potomac,M,34105.42,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,39753.59,10
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,41190.42,12
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,40238.29,12
ABS,Alcohol Beverage Services,Cloverly,F,20599.68,12
ABS,Alcohol Beverage Services,Goshen Crossing,M,34105.66,12
ABS,Alcohol Beverage Services,Walnut Hill,M,34113.08,12
ABS,Alcohol Beverage Services,Poolesville,M,47379.29,14
ABS,Alcohol Beverage Services,Burtonsville,M,31838.01,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,42641.36,10
ABS,Alcohol Beverage Services,King Farm,M,34105.66,12
ABS,Alcohol Beverage Services,Silver Spring,M,45319.31,14
ABS,Alcohol Beverage Services,Aspen Hill,F,32959.49,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,48162.8,15
ABS,Alcohol Beverage Services,King Farm,M,32959.5,12
ABS,Alcohol Beverage Services,Downtown Rockville,M,20599.69,12
ABS,Alcohol Beverage Services,Montrose,M,32959.5,12
ABS,Alcohol Beverage Services,Wholesale Administration,M,109761,25
ABS,Alcohol Beverage Services,Goshen Crossing,M,45319.31,14
ABS,Alcohol Beverage Services,Cloverly,M,32959.5,12
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",F,82145.55,21
ABS,Alcohol Beverage Services,Beer Loading,M,41189.9,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,53445.88,15
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,41190.43,12
ABS,Alcohol Beverage Services,Silver Spring,M,31837.6,12
ABS,Alcohol Beverage Services,Director,M,220000,0
ABS,Alcohol Beverage Services,Administration,M,122008.53,M3
ABS,Alcohol Beverage Services,Clarksburg Village,F,32952.34,12
ABS,Alcohol Beverage Services,King Farm,M,32952.34,12
ABS,Alcohol Beverage Services,Leisure World,F,32952.34,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,37110.04,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,38408.57,10
ABS,Alcohol Beverage Services,"Licensure, Regulation and Education",M,70767.84,21
ABS,Alcohol Beverage Services,Kingsview,M,32951.91,12
ABS,Alcohol Beverage Services,Beer Loading,M,39796.99,12
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,39796.99,12
ABS,Alcohol Beverage Services,Marketing,F,164193.05,M2
ABS,Alcohol Beverage Services,Beer Loading,M,84909.79,20
ABS,Alcohol Beverage Services,Beer Loading,M,38451.2,12
ABS,Alcohol Beverage Services,Beer Loading,M,39796.99,12
ABS,Alcohol Beverage Services,Beer Loading,M,39796.99,12
ABS,Alcohol Beverage Services,Wholesale Operations,M,83569.11,21
ABS,Alcohol Beverage Services,Beer Loading,M,37562.54,12
ABS,Alcohol Beverage Services,Beer Loading,M,37562.17,12
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,38876.86,12
ABS,Alcohol Beverage Services,Hampden Lane,F,31837.59,12
ABS,Alcohol Beverage Services,Leisure World,M,31376.18,12
ABS,Alcohol Beverage Services,Montrose,M,18575.46,12
ABS,Alcohol Beverage Services,Clarksburg Village,F,32474.22,12
ABS,Alcohol Beverage Services,Wholesale Operations,F,73737.45,21
ABS,Alcohol Beverage Services,Retail Administration,F,58096.17,16
ABS,Alcohol Beverage Services,Cabin John,F,31837.59,12
ABS,Alcohol Beverage Services,Westwood,M,31837.59,12
ABS,Alcohol Beverage Services,Aspen Hill,M,31837.6,12
ABS,Alcohol Beverage Services,Goshen Crossing,M,19225.6,12
ABS,Alcohol Beverage Services,Leisure World,M,43142.25,14
ABS,Alcohol Beverage Services,Montrose,M,43776.7,14
ABS,Alcohol Beverage Services,Olney,F,31837.6,12
ABS,Alcohol Beverage Services,Hampden Lane,M,31837.6,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,44959.91,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,44959.91,15
ABS,Alcohol Beverage Services,Beer Loading,M,38877.23,12
ABS,Alcohol Beverage Services,Administrative Services,M,144751,M3
ABS,Alcohol Beverage Services,Beer Loading,M,38451.2,12
ABS,Alcohol Beverage Services,Beer Loading,M,38450.76,12
ABS,Alcohol Beverage Services,Retail Administration,M,156442.5,M2
ABS,Alcohol Beverage Services,Stock Liquor and Wine Warehouse Operations,M,37150,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,43439.53,15
ABS,Alcohol Beverage Services,Beer Loading,M,38450.76,12
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,35855.14,10
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,35855.14,10
ABS,Alcohol Beverage Services,IT Administration,F,126584,28
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,43439.99,15
ABS,Alcohol Beverage Services,Special Order Liquor and Wine Warehouse Operations,M,38450.76,12
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,41971,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,41971,15
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,F,41971,15
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,34316.12,10
ABS,Alcohol Beverage Services,Leisure World,M,18575.25,12
ABS,Alcohol Beverage Services,Downtown Rockville,M,18575.25,12
ABS,Alcohol Beverage Services,Beer Warehouse Operations,M,81800,20
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,61275.75,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,46012.5,15
ABS,Alcohol Beverage Services,Walnut Hill,F,66462.5,21
ABS,Alcohol Beverage Services,Liquor and Wine Delivery Operations,M,61787,15
ABS,Alcohol Beverage Services,Beer Delivery Operations,M,34642.65,10
ABS,Alcohol Beverage Services,Potomac,M,18575.25,12
ABS,Alcohol Beverage Services,Clarksburg Village,M,18575,12
ABS,Alcohol Beverage Services,Seneca Meadows,M,40289,14
ABS,Alcohol Beverage Services,Potomac,M,40289,14
ABS,Alcohol Beverage Services,Wholesale Administration,M,125000,M3
ABS,Alcohol Beverage Services,Liquor and WIne Loading,M,37150,12
